Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2017;EFC;Cobre;Paraupebas;PA;Ponta da Madeira Cobre;MA;40.689;35.480.808
01/2017;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira;MA;61.942;31.776.246
01/2017;EFC;Gasolina;Ponta da Madeira;MA;Açailândia;MA;8.423;4.320.999
01/2017;EFC;Gasolina;Ponta da Madeira;MA;Marabá;PA;4.269;3.150.522
01/2017;EFC;Manganês;Carajás;PA;Ponta da Madeira;MA;118.535;105.614.685
01/2017;EFC;Minério de Ferro;Açailândia;MA;Ponta da Madeira;MA;66.652;34.192.476
01/2017;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;197.205;74.543.490
01/2017;EFC;Minério de Ferro;Carajás;PA;Marabá;PA;21.478;3.286.134
01/2017;EFC;Minério de Ferro;Carajás;PA;Ponta da Madeira;MA;12.554.385;11.185.957.035
01/2017;EFC;Minério de Ferro;Marabá;PA;Ponta da Madeira;MA;22.018;16.249.284
01/2017;EFC;Minério de Ferro;Serra Leste;PA;Ponta da Madeira;MA;539.504;448.512.334
01/2017;EFC;Minério de Ferro;Serra Sul;PA;Ponta da Madeira;MA;408.450;386.551.361
01/2017;EFC;Outros - Comb e derivado -  Perigoso;Ponta da Madeira;MA;Açailândia;MA;29.038;14.896.494
01/2017;EFC;Outros - Comb e derivado -  Perigoso;Ponta da Madeira;MA;Marabá;PA;16.554;12.216.852
01/2017;EFPO;Cimento acondicionado;Agrária;PR;Cascavel;PR;5.760;1.385.844
01/2017;EFPO;Grãos - Trigo;Cascavel;PR;Agrária;PR;4.981;1.198.418
01/2017;EFPO;Soja;Cascavel;PR;Agrária;PR;6.672;1.605.269
01/2017;EFPO;Soja;Cascavel;PR;D Pedro II;PR;13.614;10.003.552
01/2017;EFPO;Veículos;Cascavel;PR;Agrária;PR;16;3.849
01/2017;EFVM;Antracito;Tubarão;ES;Bela Vista de Minas;MG;12.407;6.499.952
01/2017;EFVM;Antracito;Tubarão;ES;Intendente Câmara;MG;15.861;6.869.573
01/2017;EFVM;Carvão Mineral;Tubarão;ES;Intendente Câmara;MG;85.674;37.106.350
01/2017;EFVM;Carvão Mineral;Tubarão;ES;Ouro Branco;MG;186.922;125.401.483
01/2017;EFVM;Celulose;Frederico Selow;MG;Aracruz;ES;104.294;38.648.540
01/2017;EFVM;Cloreto de Potássio;Tubarão;ES;Brejo Alegre;MG;41.506;58.467.252
01/2017;EFVM;Cloreto de Potássio;Tubarão;ES;Eng. Adelmar;MG;863;833.998
01/2017;EFVM;Coque;Tubarão;ES;Prudente de Morais;MG;10.485;7.554.672
01/2017;EFVM;Coque Metalúrgico;Tubarão;ES;Bela Vista de Minas;MG;27.143;14.220.054
01/2017;EFVM;Escória;João Correia;MG;Eng. Bhering;MG;6.217;3.507.426
01/2017;EFVM;Farelo de Soja;Tubarão;ES;Pedro Nolasco;ES;600;16.329
01/2017;EFVM;Ferro Gusa;Aroaba;ES;Pedro Nolasco;ES;10.598;255.125
