Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2009;EFC;Álcool;Itaqui;MA;Marabá;PA;445;332.415
01/2009;EFC;Cobre;Paraupebas;PA;Ponta da Madeira Cobre;MA;44.733;38.694.045
01/2009;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira Pêra do Píer;MA;47.183;24.676.709
01/2009;EFC;Ferro Gusa;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;122.588;91.556.996
01/2009;EFC;Ferro Gusa;Santa Inês;MA;Ponta da Madeira Pêra do Píer;MA;5.839;1.302.097
01/2009;EFC;Gasolina;Itaqui;MA;Açailândia;MA;8.172;4.265.784
01/2009;EFC;Gasolina;Itaqui;MA;Marabá;PA;6.042;4.513.374
01/2009;EFC;Minério de Ferro;Açailândia;MA;Virador de Vagões Minério;MA;23.400;12.004.200
01/2009;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;201.526;76.378.354
01/2009;EFC;Minério de Ferro;Carajás;PA;Santa Inês;MA;25.956;17.624.124
01/2009;EFC;Minério de Ferro;Carajás;PA;Virador de Vagões Minério;MA;7.270.818;6.485.569.656
01/2009;EFC;Óleo Diesel;Itaqui;MA;Açailândia;MA;7.043;3.676.446
01/2009;EFC;Outros - Comb e derivado -  Perigoso;Itaqui;MA;Açailândia;MA;24.447;12.761.334
01/2009;EFC;Outros - Comb e derivado -  Perigoso;Itaqui;MA;Marabá;PA;16.565;12.374.055
01/2009;EFPO;Contêiner Cheio de 40 Pés;Cascavel;PR;D Pedro II;PR;2.943;2.170.044
01/2009;EFPO;Contêiner Cheio de 40 Pés;Cascavel;PR;Desvio Ribas;PR;405;205.335
01/2009;EFPO;Contêiner Cheio de 40 Pés;Cascavel;PR;São Francisco do Sul;SC;675;569.025
01/2009;EFPO;Contêiner Cheio de 40 Pés;Cascavel;PR;Uvaranas;PR;3.672;1.927.800
01/2009;EFPO;Grãos - Milho;Cascavel;PR;D Pedro II;PR;1.000;737.000
01/2009;EFPO;Grãos - Milho;Cascavel;PR;São Francisco do Sul;SC;30.554;25.848.684
01/2009;EFPO;Grãos - Trigo;Cascavel;PR;Tatui;SP;19.300;12.583.600
01/2009;EFPO;Óleo Vegetal;Cascavel;PR;D Pedro II;PR;743;547.591
01/2009;EFPO;Soja;Cascavel;PR;Araucária Carga;PR;2.058;1.249.206
01/2009;EFPO;Soja;Cascavel;PR;D Pedro II;PR;12.787;9.424.019
01/2009;EFPO;Soja;Cascavel;PR;Desvio Ribas;PR;5.149;2.610.543
01/2009;EFPO;Soja;Cascavel;PR;Diretor Pestana;RS;108;145.476
01/2009;EFVM;Amônia;Tubarão;ES;Garças de Minas;MG;69;66.447
01/2009;EFVM;Antracito;Tubarão;ES;Ouro Branco;MG;22.073;14.766.837
01/2009;EFVM;Calcário Britado;Matozinhos;MG;Intendente Câmara;MG;18.073;4.861.637
01/2009;EFVM;Calcário Siderúrgico;Matozinhos;MG;João Monlevade;MG;3.066;539.616
01/2009;EFVM;Carvão Mineral;Tubarão;ES;Bela Vista de Minas;MG;23.095;12.147.970
01/2009;EFVM;Carvão Mineral;Tubarão;ES;Intendente Câmara;MG;205.053;89.403.108
01/2009;EFVM;Carvão Mineral;Tubarão;ES;Ouro Branco;MG;188.074;125.821.506
01/2009;EFVM;Celulose;Frederico Selow;MG;Aracruz;ES;97.043;35.808.867
01/2009;EFVM;Cimento acondicionado;Tubarão;ES;Governador Valadares;MG;1.008;327.600
01/2009;EFVM;Cloreto de Potássio;Tubarão;ES;Catalão;GO;26;39.260
01/2009;EFVM;Cloreto de Potássio;Tubarão;ES;Valefertil;MG;42;60.984
01/2009;EFVM;Contêiner Cheio de 40 Pés;Pedro Nolasco;ES;Couto e Silva;MG;82;56.170
01/2009;EFVM;Contêiner Vazio de 20 Pés;Mário Carvalho;MG;Pedro Nolasco;ES;48;21.552
01/2009;EFVM;Coque;Pedro Nolasco;ES;Capitão Eduardo;MG;3.022;1.982.432
01/2009;EFVM;Coque;Tubarão;ES;Bela Vista de Minas;MG;29.042;15.014.714
01/2009;EFVM;Coque;Tubarão;ES;Mário Carvalho;MG;9.032;4.055.368
01/2009;EFVM;Coque;Tubarão;ES;Prudente de Morais;MG;48.273;34.625.986
01/2009;EFVM;Coque Metalúrgico;Tubarão;ES;Intendente Câmara;MG;14.074;6.136.264
01/2009;EFVM;Dolomita;Capitão Eduardo;MG;Intendente Câmara;MG;9.005;2.026.125
01/2009;EFVM;Dolomita;Gongo Soco;MG;Intendente Câmara;MG;8.016;1.394.784
01/2009;EFVM;Dunito;Eng. Costa Lacerda;MG;Intendente Câmara;MG;2.023;269.059
01/2009;EFVM;Dunito;Eng. Costa Lacerda;MG;Mário Carvalho;MG;76;9.120
01/2009;EFVM;Dunito;Eng. Costa Lacerda;MG;Tubarão;ES;1.011;567.171
01/2009;EFVM;Escória;Intendente Câmara;MG;Dr. Lund;MG;20.082;5.100.828
01/2009;EFVM;Escória;João Correia;MG;Capitão Eduardo;MG;2.046;478.764
01/2009;EFVM;Escória;João Correia;MG;Dr. Lund;MG;13.005;3.420.315
01/2009;EFVM;Escória;João Correia;MG;Eng. Bhering;MG;7.066;4.027.620
01/2009;EFVM;Ferro Gusa;Funil;MG;Pedro Nolasco;ES;10.000;6.410.000
01/2009;EFVM;Ferro Gusa;Piraqueaçu;ES;Pedro Nolasco;ES;7.133;534.975
01/2009;EFVM;Manganês;Fábrica;MG;Intendente Câmara;MG;4.091;981.840
01/2009;EFVM;Manganês;Pedro Nolasco;ES;Capitão Eduardo;MG;10.173;6.632.408
01/2009;EFVM;Manganês;Tubarão;ES;Capitão Eduardo;MG;63;40.635
01/2009;EFVM;Manganês;Tubarão;ES;Intendente Câmara;MG;93;40.548
01/2009;EFVM;Máquinas, Motores, Peças e acessórios;Pedreira Rio das Velhas;MG;Pedro Nolasco;ES;3;1.938
01/2009;EFVM;Máquinas, Motores, Peças e acessórios;Pedro Nolasco;ES;Colatina;ES;28;3.696
01/2009;EFVM;Máquinas, Motores, Peças e acessórios;Tubarão;ES;Intendente Câmara;MG;5.071;2.175.459
01/2009;EFVM;Máquinas, Motores, Peças e acessórios;Tubarão;ES;Pedreira Rio das Velhas;MG;12;7.632
01/2009;EFVM;Minério de Ferro;Alegria;MG;Intendente Câmara;MG;12.444;2.115.480
01/2009;EFVM;Minério de Ferro;Alegria;MG;Tubarão;ES;780.226;470.476.278
01/2009;EFVM;Minério de Ferro;Bicas;MG;Tubarão;ES;417.357;229.546.350
01/2009;EFVM;Minério de Ferro;Brucutu;MG;Intendente Câmara;MG;41.034;5.990.964
01/2009;EFVM;Minério de Ferro;Brucutu;MG;Tubarão;ES;1.740.179;1.019.744.894
01/2009;EFVM;Minério de Ferro;Conceição;MG;Intendente Câmara;MG;47.700;5.390.100
01/2009;EFVM;Minério de Ferro;Conceição;MG;Tubarão;ES;1.263.703;689.981.838
01/2009;EFVM;Minério de Ferro;Fábrica;MG;Intendente Câmara;MG;735;179.340
01/2009;EFVM;Minério de Ferro;Fábrica;MG;Tubarão;ES;167.971;113.716.367
01/2009;EFVM;Minério de Ferro;Fábrica Muro;MG;Intendente Câmara;MG;36.130;8.508.669
01/2009;EFVM;Minério de Ferro;Fábrica Muro;MG;Mário Carvalho;MG;4.641;1.025.661
01/2009;EFVM;Minério de Ferro;Fábrica Muro;MG;Tubarão;ES;178.449;119.917.728
01/2009;EFVM;Minério de Ferro;Gongo Soco;MG;Tubarão;ES;55.991;34.266.492
01/2009;EFVM;Minério de Ferro;João Paulo;MG;Piraqueaçu;ES;7.748;3.641.560
01/2009;EFVM;Minério de Ferro;João Paulo;MG;Tubarão;ES;413.952;225.189.888
01/2009;EFVM;Minério de Ferro;Mário Carvalho;MG;Tubarão;ES;3.063;1.375.287
01/2009;EFVM;Minério de Ferro;Ouro Branco;MG;Tubarão;ES;83.746;56.305.116
01/2009;EFVM;Minério de Ferro;Pedreira Rio das Velhas;MG;Tubarão;ES;127.604;82.942.600
01/2009;EFVM;Minério de Ferro;Pedro Nolasco;ES;Tubarão;ES;73;2.190
01/2009;EFVM;Minério de Ferro;Piraqueaçu;ES;Tubarão;ES;2.256;166.944
01/2009;EFVM;Minério de Ferro;Timbopeba;MG;Intendente Câmara;MG;12.771;2.298.780
01/2009;EFVM;Minério de Ferro;Timbopeba;MG;Tubarão;ES;1.127.627;691.235.351
01/2009;EFVM;Minério de Ferro;Tubarão;ES;Tubarão;ES;5.376;26.880
01/2009;EFVM;Outras - Carga Geral Não Conteinerizada;Matozinhos;MG;Intendente Câmara;MG;16.081;4.325.789
01/2009;EFVM;Pedras em Blocos e Placas;Colatina;ES;Pedro Nolasco;ES;272;35.810
