Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2019;EFC;Cobre;Paraupebas;PA;Ponta da Madeira Cobre;MA;45.920;40.042.240
01/2019;EFC;Escória;Açailândia;MA;Ponta da Madeira;MA;6.411;3.288.843
01/2019;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira Pêra do Píer;MA;43.419;22.825.368
01/2019;EFC;Ferro Gusa;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;12.792;9.602.954
01/2019;EFC;Gasolina;Itaqui Base Combustível;MA;Açailândia;MA;6.753;3.531.819
01/2019;EFC;Gasolina;Itaqui Base Combustível;MA;Marabá;PA;6.966;5.210.568
01/2019;EFC;Manganês;Carajás;PA;Ponta da Madeira;MA;120.463;107.332.533
01/2019;EFC;Minério de Ferro;Açailândia;MA;Ponta da Madeira;MA;33.358;17.112.654
01/2019;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;176.647;66.772.566
01/2019;EFC;Minério de Ferro;Carajás;PA;Marabá;PA;61.970;9.481.410
01/2019;EFC;Minério de Ferro;Carajás;PA;Ponta da Madeira;MA;8.638.461;7.696.868.751
01/2019;EFC;Minério de Ferro;Marabá;PA;Ponta da Madeira;MA;22.220;16.398.360
01/2019;EFC;Minério de Ferro;Serra Leste;PA;Ponta da Madeira;MA;207.483;172.489.332
01/2019;EFC;Minério de Ferro;Serra Sul;PA;Ponta da Madeira;MA;6.399.440;6.056.340.423
01/2019;EFC;Óleo Diesel;Itaqui Base Combustível;MA;Açailândia;MA;26.603;13.913.369
01/2019;EFC;Óleo Diesel;Itaqui Base Combustível;MA;Marabá;PA;28.148;21.054.704
01/2019;EFPO;Cimento acondicionado;Agrária;PR;Cascavel;PR;3.440;827.657
01/2019;EFPO;Grãos - Trigo;Cascavel;PR;Agrária;PR;2.893;696.050
01/2019;EFPO;Soja;Cascavel;PR;Agrária;PR;29.699;7.145.519
01/2019;EFPO;Soja;Cascavel;PR;D Pedro II;PR;39.847;29.279.535
01/2019;EFPO;Veículos;Cascavel;PR;Agrária;PR;30;7.217
01/2019;EFVM;Antracito;Pedro Nolasco;ES;Intendente Câmara;MG;4.583;1.995.914
