Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2012;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira Pêra do Píer;MA;102.380;53.821.165
01/2012;EFC;Ferro Gusa;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;75.202;56.454.142
01/2012;EFC;Ferro Gusa;Rosário;MA;Ponta da Madeira Pêra do Píer;MA;10.000;517.000
01/2012;EFC;Ferro Gusa;Santa Inês;MA;Ponta da Madeira Pêra do Píer;MA;21.575;4.869.477
01/2012;EFC;Gasolina;Itaqui Base Combustível;MA;Açailândia;MA;7.336;3.836.728
01/2012;EFC;Gasolina;Itaqui Base Combustível;MA;Marabá;PA;4.910;3.672.680
01/2012;EFC;Manganês;Carajás;PA;Virador de Vagões Minério;MA;142.830;128.404.170
01/2012;EFC;Minério de Ferro;Açailândia;MA;Marabá;PA;1.400;315.000
01/2012;EFC;Minério de Ferro;Açailândia;MA;Virador de Vagões Minério;MA;22.000;11.462.000
01/2012;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;168.480;63.685.440
01/2012;EFC;Minério de Ferro;Carajás;PA;Marabá;PA;75.264;11.515.392
01/2012;EFC;Minério de Ferro;Carajás;PA;Rosário;MA;22.360;19.050.720
01/2012;EFC;Minério de Ferro;Carajás;PA;Santa Inês;MA;19.995;13.556.610
01/2012;EFC;Minério de Ferro;Carajás;PA;Virador de Vagões Minério;MA;8.356.431;7.512.431.469
01/2012;EFC;Minério de Ferro;Rosário;MA;Virador de Vagões Minério;MA;10.000;470.000
01/2012;EFC;Minério de Ferro;Santa Inês;MA;Virador de Vagões Minério;MA;10.000;2.210.000
01/2012;EFC;Outros - Comb e derivado -  Perigoso;Itaqui Base Combustível;MA;Açailândia;MA;25.257;13.209.411
01/2012;EFC;Outros - Comb e derivado -  Perigoso;Itaqui Base Combustível;MA;Marabá;PA;20.745;15.517.260
01/2012;EFPO;Grãos - Milho;Cascavel;PR;D Pedro II;PR;7.462;5.483.070
01/2012;EFPO;Outras - Carga Geral Não Conteinerizada;Agrária;PR;Cascavel;PR;98;23.579
01/2012;EFPO;Outras - Carga Geral Não Conteinerizada;Cascavel;PR;Agrária;PR;107;25.744
01/2012;EFPO;Soja;Cascavel;PR;D Pedro II;PR;46.169;33.924.936
01/2012;EFPO;Soja;Cascavel;PR;Desvio Ribas;PR;320;161.489
01/2012;EFPO;Soja;Cascavel;PR;São Francisco do Sul;SC;1.834;1.543.254
01/2012;EFVM;Antracito;Tubarão;ES;Bela Vista de Minas;MG;8.579;4.494.487
01/2012;EFVM;Antracito;Tubarão;ES;Intendente Câmara;MG;2.669;1.155.973
01/2012;EFVM;Carvão Mineral;Tubarão;ES;Intendente Câmara;MG;112.375;48.670.849
01/2012;EFVM;Carvão Mineral;Tubarão;ES;Ouro Branco;MG;120.113;80.580.929
01/2012;EFVM;Carvão Mineral;Tubarão;ES;Prudente de Morais;MG;18.500;13.329.656
01/2012;EFVM;Celulose;Frederico Selow;MG;Aracruz;ES;100.902;37.391.557
01/2012;EFVM;Coque;Pedro Nolasco;ES;Brasília;DF;30.119;55.183.129
01/2012;EFVM;Coque;Tubarão;ES;Pedro Nolasco;ES;30.652;834.194
01/2012;EFVM;Coque Metalúrgico;Tubarão;ES;Bela Vista de Minas;MG;27.042;14.167.142
01/2012;EFVM;Coque Metalúrgico;Tubarão;ES;Intendente Câmara;MG;10.582;4.583.181
01/2012;EFVM;Dunito;Eng. Costa Lacerda;MG;Mário Carvalho;MG;2.616;314.030
01/2012;EFVM;Escória;João Correia;MG;Dr. Lund;MG;11.762;3.129.762
01/2012;EFVM;Escória;João Correia;MG;Eng. Bhering;MG;11.771;6.640.810
01/2012;EFVM;Ferro Gusa;Funil;MG;Pedro Nolasco;ES;8.880;5.692.275
01/2012;EFVM;Ferro Gusa;Funil;MG;Tubarão;ES;15.404;9.837.441
01/2012;EFVM;Ferro Gusa;Piraqueaçu;ES;Pedro Nolasco;ES;1.869;140.225
01/2012;EFVM;Ferro Gusa;Piraqueaçu;ES;Tubarão;ES;4.871;353.800
01/2012;EFVM;Gasolina;Pedro Nolasco;ES;Governador Valadares;MG;1.223;397.361
01/2012;EFVM;Gasolina;Pedro Nolasco;ES;Tubarão;ES;350;9.525
01/2012;EFVM;Grãos - Trigo;Pedro Nolasco;ES;Parque Industrial;MG;6.845;4.616.083
01/2012;EFVM;Manganês;Fábrica Muro;MG;Intendente Câmara;MG;5.281;1.245.402
01/2012;EFVM;Minério de Ferro;Alegria;MG;Tubarão;ES;801.381;482.937.034
01/2012;EFVM;Minério de Ferro;Aroaba;ES;Tubarão;ES;5.068;109.874
01/2012;EFVM;Minério de Ferro;Bicas;MG;Tubarão;ES;362.599;197.147.614
01/2012;EFVM;Minério de Ferro;Brucutu;MG;Tubarão;ES;2.158.417;1.260.543.588
01/2012;EFVM;Minério de Ferro;Conceição;MG;Tubarão;ES;1.260.847;685.286.736
01/2012;EFVM;Minério de Ferro;Fábrica;MG;Ouro Branco;MG;18.697;570.632
01/2012;EFVM;Minério de Ferro;Fábrica;MG;Tubarão;ES;206.802;138.846.035
01/2012;EFVM;Minério de Ferro;Fábrica Muro;MG;Intendente Câmara;MG;25.193;5.941.190
01/2012;EFVM;Minério de Ferro;Fábrica Muro;MG;Tubarão;ES;89.273;59.718.103
01/2012;EFVM;Minério de Ferro;Gongo Soco;MG;Tubarão;ES;330.646;200.506.049
01/2012;EFVM;Minério de Ferro;João Paulo;MG;Tubarão;ES;1.198.956;649.925.274
01/2012;EFVM;Minério de Ferro;Ouro Branco;MG;Tubarão;ES;19.704;13.218.941
01/2012;EFVM;Minério de Ferro;Piraqueaçu;ES;Tubarão;ES;1.980;143.816
01/2012;EFVM;Minério de Ferro;Timbopeba;MG;Tubarão;ES;824.200;503.537.572
01/2012;EFVM;Óleo Diesel;Pedro Nolasco;ES;Tubarão;ES;612;16.656
01/2012;EFVM;Óleo Diesel;Tubarão;ES;Pedro Nolasco;ES;203;5.525
01/2012;EFVM;Outras - Carga Geral Não Conteinerizada;Tubarão;ES;João Monlevade;MG;43;22.646
01/2012;EFVM;Pedras em Blocos e Placas;Colatina;ES;Pedro Nolasco;ES;6.251;822.750
01/2012;EFVM;Pedras em Blocos e Placas;Colatina;ES;Tubarão;ES;1.142;147.576
01/2012;EFVM;Pedras em Blocos e Placas;Governador Valadares;MG;Pedro Nolasco;ES;12.603;4.094.802
01/2012;EFVM;Pedras em Blocos e Placas;Governador Valadares;MG;Tubarão;ES;1.555;501.509
01/2012;EFVM;Pedras em Blocos e Placas;João Paulo;MG;Pedro Nolasco;ES;1.958;1.066.070
01/2012;EFVM;Pedras em Blocos e Placas;Pedro Nolasco;ES;Tubarão;ES;1.008;27.433
01/2012;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Carreira Comprida;MG;5.855;1.308.183
01/2012;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Couto e Silva;MG;4.789;1.216.191
01/2012;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Eldorado;MG;24.604;5.852.529
01/2012;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Embiruçu;MG;46.425;11.576.771
01/2012;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Pedro Nolasco;ES;1.741;758.212
01/2012;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Tubarão;ES;13.235;5.732.225
01/2012;EFVM;Prd. Siderúrgicos - Bobina - BF;Mário Carvalho;MG;Barbará;RJ;3.159;1.779.145
01/2012;EFVM;Prd. Siderúrgicos - Bobina - BF;Mário Carvalho;MG;Manoel Feio;SP;1.251;1.069.068
01/2012;EFVM;Prd. Siderúrgicos - Bobina - BF;Mário Carvalho;MG;Parque Industrial;MG;415;93.394
01/2012;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Barra Mansa;RJ;16.804;16.906.489
01/2012;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Boa Vista Nova;SP;9.540;17.765.816
