Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2006;EFC;Álcool;Itaqui Base Combustível;MA;Marabá;PA;184;136.344
01/2006;EFC;Bebidas e Vasilhames;Ponta da Madeira Pêra do Píer;MA;Imperatriz;MA;1.636;999.596
01/2006;EFC;Cobre;Paraupebas;PA;Ponta da Madeira Cobre;MA;24.461;21.158.765
01/2006;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira Pêra do Píer;MA;116.272;60.345.168
01/2006;EFC;Ferro Gusa;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;205.242;152.700.048
01/2006;EFC;Ferro Gusa;Santa Inês;MA;Ponta da Madeira Pêra do Píer;MA;8.000;1.752.000
01/2006;EFC;Gasolina;Itaqui Base Combustível;MA;Açailândia;MA;5.993;3.092.388
01/2006;EFC;Gasolina;Itaqui Base Combustível;MA;Marabá;PA;2.559;1.896.219
01/2006;EFC;Manganês;Carajás;PA;Virador de Vagões Minério;MA;107.414;95.813.288
01/2006;EFC;Máquinas, Motores, Peças e acessórios;Ponta da Madeira Pêra do Píer;MA;Carajás;PA;38;34.124
01/2006;EFC;Minério de Ferro;Açailândia;MA;Virador de Vagões Minério;MA;44.018;22.581.234
01/2006;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;243.938;92.452.502
01/2006;EFC;Minério de Ferro;Carajás;PA;Marabá;PA;303.433;46.728.682
01/2006;EFC;Minério de Ferro;Carajás;PA;Santa Inês;MA;31.767;21.569.793
01/2006;EFC;Minério de Ferro;Carajás;PA;Virador de Vagões Minério;MA;6.794.677;6.060.851.884
01/2006;EFC;Minério de Ferro;Marabá;PA;Virador de Vagões Minério;MA;38.800;28.634.400
01/2006;EFC;Minério de Ferro;Santa Inês;MA;Virador de Vagões Minério;MA;16.400;3.493.200
01/2006;EFC;Óleo Diesel;Itaqui Base Combustível;MA;Açailândia;MA;32.128;16.578.048
