Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2013;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira Pêra do Píer;MA;109.295;57.456.382
01/2013;EFC;Ferro Gusa;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;53.155;39.903.458
01/2013;EFC;Ferro Gusa;Rosário;MA;Ponta da Madeira Pêra do Píer;MA;10.185;526.565
01/2013;EFC;Ferro Gusa;Santa Inês;MA;Ponta da Madeira Pêra do Píer;MA;9.443;2.131.285
01/2013;EFC;Gasolina;Itaqui Base Combustível;MA;Açailândia;MA;10.410;5.444.430
01/2013;EFC;Gasolina;Itaqui Base Combustível;MA;Marabá;PA;5.961;4.458.828
01/2013;EFC;Manganês;Carajás;PA;Virador de Vagões Minério;MA;164.570;147.948.430
01/2013;EFC;Minério de Ferro;Açailândia;MA;Virador de Vagões Minério;MA;22.176;11.553.696
01/2013;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;155.911;58.934.358
01/2013;EFC;Minério de Ferro;Carajás;PA;Marabá;PA;26.860;4.109.580
01/2013;EFC;Minério de Ferro;Carajás;PA;Rosário;MA;27.620;23.532.240
01/2013;EFC;Minério de Ferro;Carajás;PA;Virador de Vagões Minério;MA;9.060.693;8.145.563.007
01/2013;EFC;Minério de Ferro;Marabá;PA;Virador de Vagões Minério;MA;12.000;8.952.000
01/2013;EFC;Minério de Ferro;Rosário;MA;Virador de Vagões Minério;MA;3.000;141.000
01/2013;EFC;Minério de Ferro;Santa Inês;MA;Virador de Vagões Minério;MA;2.600;574.600
01/2013;EFC;Outros - Comb e derivado -  Perigoso;Itaqui Base Combustível;MA;Açailândia;MA;30.265;15.828.595
01/2013;EFC;Outros - Comb e derivado -  Perigoso;Itaqui Base Combustível;MA;Marabá;PA;17.896;13.386.208
01/2013;EFPO;Grãos - Milho;Cascavel;PR;D Pedro II;PR;18.956;13.928.850
01/2013;EFPO;Grãos - Trigo;Cascavel;PR;Desvio Ribas;PR;287;144.836
01/2013;EFPO;Soja;Cascavel;PR;Agrária;PR;2.797;672.953
01/2013;EFPO;Soja;Cascavel;PR;D Pedro II;PR;484;355.642
01/2013;EFPO;Soja;Cascavel;PR;Eng. João Passos;PR;563;142.541
01/2013;EFPO;Soja;Cascavel;PR;Guarapuava;PR;1.786;443.103
01/2013;EFPO;Soja;Cascavel;PR;São Francisco do Sul;SC;2.201;1.852.074
01/2013;EFVM;Amônia;Tubarão;ES;Catalão;GO;1.132;1.714.463
01/2013;EFVM;Antracito;Tubarão;ES;Intendente Câmara;MG;38.502;16.675.640
01/2013;EFVM;Antracito;Tubarão;ES;Ouro Branco;MG;3.175;2.130.031
01/2013;EFVM;Carvão Mineral;Tubarão;ES;Intendente Câmara;MG;68.387;29.619.162
01/2013;EFVM;Celulose;Frederico Selow;MG;Aracruz;ES;104.332;38.662.622
01/2013;EFVM;Cloreto de Potássio;Tubarão;ES;Brejo Alegre;MG;3.573;5.033.093
01/2013;EFVM;Cloreto de Potássio;Tubarão;ES;Eng. Adelmar;MG;4.404;4.256.004
01/2013;EFVM;Cloreto de Potássio;Tubarão;ES;Valefertil;MG;1.524;2.179.003
01/2013;EFVM;Coque;Pedro Nolasco;ES;Brasília;DF;9.342;17.116.133
01/2013;EFVM;Coque;Tubarão;ES;Pedro Nolasco;ES;7.953;216.441
01/2013;EFVM;Coque Metalúrgico;Tubarão;ES;Intendente Câmara;MG;7.422;3.214.550
01/2013;EFVM;Escória;Intendente Câmara;MG;Dr. Lund;MG;22.659;5.844.096
01/2013;EFVM;Escória;João Correia;MG;Dr. Lund;MG;8.525;2.268.426
01/2013;EFVM;Escória;João Correia;MG;Eng. Bhering;MG;4.275;2.411.814
01/2013;EFVM;Ferro Gusa;Funil;MG;Tubarão;ES;22.815;14.570.321
01/2013;EFVM;Ferro Gusa;Mário Carvalho;MG;Tubarão;ES;634;283.357
01/2013;EFVM;Ferro Gusa;Piraqueaçu;ES;Tubarão;ES;6.800;493.911
01/2013;EFVM;Gasolina;Pedro Nolasco;ES;Tubarão;ES;3.767;102.519
01/2013;EFVM;Minério de Ferro;Alegria;MG;Tubarão;ES;1.331.055;802.135.006
01/2013;EFVM;Minério de Ferro;Bicas;MG;Tubarão;ES;361.617;196.613.694
01/2013;EFVM;Minério de Ferro;Brucutu;MG;Tubarão;ES;2.548.350;1.488.269.529
01/2013;EFVM;Minério de Ferro;Capitão Eduardo;MG;Tubarão;ES;3.794;2.466.134
01/2013;EFVM;Minério de Ferro;Conceição;MG;Tubarão;ES;1.287.601;699.827.882
01/2013;EFVM;Minério de Ferro;Fábrica;MG;Tubarão;ES;654.524;439.444.796
01/2013;EFVM;Minério de Ferro;Fábrica Muro;MG;Intendente Câmara;MG;75.640;17.837.954
01/2013;EFVM;Minério de Ferro;Fábrica Muro;MG;Tubarão;ES;257.740;172.412.080
01/2013;EFVM;Minério de Ferro;Gongo Soco;MG;Tubarão;ES;335.887;203.684.228
01/2013;EFVM;Minério de Ferro;João Paulo;MG;Tubarão;ES;1.186.937;643.410.061
01/2013;EFVM;Minério de Ferro;Ouro Branco;MG;Tubarão;ES;141.768;95.108.749
01/2013;EFVM;Minério de Ferro;Piraqueaçu;ES;Tubarão;ES;3.600;261.482
01/2013;EFVM;Minério de Ferro;Timbopeba;MG;Tubarão;ES;1.137.171;694.744.389
01/2013;EFVM;Pedras em Blocos e Placas;Colatina;ES;Pedro Nolasco;ES;2.888;380.115
01/2013;EFVM;Pedras em Blocos e Placas;Colatina;ES;Tubarão;ES;4.893;632.303
01/2013;EFVM;Pedras em Blocos e Placas;Governador Valadares;MG;Morro Grande;ES;20;9.668
01/2013;EFVM;Pedras em Blocos e Placas;Governador Valadares;MG;Tubarão;ES;4.117;1.327.791
01/2013;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Carreira Comprida;MG;4.591;1.025.767
01/2013;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Couto e Silva;MG;6.246;1.586.203
01/2013;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Eldorado;MG;37.272;8.865.854
01/2013;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Embiruçu;MG;49.861;12.433.588
01/2013;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Pedro Nolasco;ES;152;66.197
01/2013;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Tubarão;ES;13.662;5.917.162
01/2013;EFVM;Prd. Siderúrgicos - Bobina - BF;Mário Carvalho;MG;Parque Industrial;MG;92;20.704
01/2013;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Barra Mansa;RJ;8.600;8.652.452
01/2013;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Boa Vista Nova;SP;17.782;33.114.440
01/2013;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Ipiranga;SP;2.749;3.687.386
01/2013;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Manoel Feio;SP;1.940;2.524.919
01/2013;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Parque Industrial;MG;8.893;5.975.918
01/2013;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Eldorado;MG;2.185;315.353
01/2013;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Governador Valadares;MG;11.296;2.305.966
01/2013;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Nova Granja;MG;2.310;356.451
01/2013;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Parque Industrial;MG;24.652;3.582.577
01/2013;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Pedro Nolasco;ES;58;30.685
01/2013;EFVM;Prd. Siderúrgicos - Fio Máquina;Ouro Branco;MG;Tubarão;ES;7.917;5.311.326
01/2013;EFVM;Prd. Siderúrgicos - Outros;Intendente Câmara;MG;Carreira Comprida;MG;1.802;402.621
01/2013;EFVM;Prd. Siderúrgicos - Outros;Intendente Câmara;MG;Eldorado;MG;12.170;2.894.866
01/2013;EFVM;Prd. Siderúrgicos - Outros;Intendente Câmara;MG;Embiruçu;MG;58;14.463
01/2013;EFVM;Prd. Siderúrgicos - Outros;Intendente Câmara;MG;Tubarão;ES;819;354.718
01/2013;EFVM;Prd. Siderúrgicos - Outros;Ouro Branco;MG;Governador Valadares;MG;442;153.976
01/2013;EFVM;Prd. Siderúrgicos - Outros;Ouro Branco;MG;Tubarão;ES;2.323;1.558.445
01/2013;EFVM;Prd. Siderúrgicos - Placa;Intendente Câmara;MG;Tubarão;ES;3.209;1.389.853
01/2013;EFVM;Prd. Siderúrgicos - Placa;Ouro Branco;MG;Tubarão;ES;62.041;41.621.818
01/2013;EFVM;Prd. Siderúrgicos - Tarugo;Ouro Branco;MG;Governador Valadares;MG;431;150.144
01/2013;EFVM;Prd. Siderúrgicos - Tarugo;Ouro Branco;MG;Tubarão;ES;36.099;24.217.952
01/2013;EFVM;Prd. Siderúrgicos - Tarugo;Pedro Nolasco;ES;João Monlevade;MG;3.611;1.910.389
01/2013;EFVM;Toras de Madeira;Colatina;ES;Aracruz;ES;15.600;1.616.035
01/2013;EFVM;Toras de Madeira;Desembargador Drumond;MG;Frederico Selow;MG;29.298;3.182.758
01/2013;EFVM;Toras de Madeira;Eng. Costa Lacerda;MG;Frederico Selow;MG;38.448;6.565.765
01/2013;FCA;Açúcar;Ituverava;SP;Santos;SP;11.280;7.444.687
01/2013;FCA;Açúcar;Mato Seco;SP;Santos;SP;25.441;9.377.577
01/2013;FCA;Açúcar;Ribeirão Preto;SP;Santos;SP;91.738;50.954.768
01/2013;FCA;Álcool;Ribeirão Preto;SP;Paulínia;SP;1.690;463.236
01/2013;FCA;Álcool;Uberlândia;MG;Paulínia;SP;8.187;4.777.139
01/2013;FCA;Álcool;Uberlândia;MG;Pedro Nolasco;ES;94;138.046
01/2013;FCA;Álcool;Uberlândia;MG;Replan;SP;602;356.761
01/2013;FCA;Álcool;Valefertil;MG;Embiruçu;MG;962;718.918
01/2013;FCA;Álcool;Zelândia;MG;Embiruçu;MG;612;380.921
01/2013;FCA;Areia;Eng. Helio Martins;GO;Brasília;DF;1.843;290.147
01/2013;FCA;Areia;Ipameri;GO;Brasília;DF;633;184.149
01/2013;FCA;Areia;Roncador Novo;GO;Brasília;DF;4.719;1.154.112
01/2013;FCA;Bauxita;Barão de Camargo;MG;Barão de Angra;RJ;103.432;18.881.099
01/2013;FCA;Bauxita;Bauxita;MG;Alumínio;SP;24.942;6.978.647
01/2013;FCA;Cal;Nova Granja;MG;Capitão Eduardo;MG;22.774;704.924
01/2013;FCA;Cal;Nova Granja;MG;Porto de Aratu;BA;12.335;19.305.891
01/2013;FCA;Calcário Britado;Arcos;MG;Intendente Câmara;MG;5.111;2.817.331
01/2013;FCA;Calcário Britado;Capitão Eduardo;MG;Intendente Câmara;MG;7.581;1.644.304
01/2013;FCA;Calcário Corretivo;Matozinhos;MG;Intendente Câmara;MG;37.930;10.387.927
01/2013;FCA;Calcário Siderúrgico;Arcos;MG;Barra Mansa;RJ;96.324;44.935.916
01/2013;FCA;Calcário Siderúrgico;Arcos;MG;Intendente Câmara;MG;21.991;12.122.078
01/2013;FCA;Calcário Siderúrgico;Matozinhos;MG;Capitão Eduardo;MG;27.448;1.563.795
01/2013;FCA;Calcário Siderúrgico;Matozinhos;MG;Intendente Câmara;MG;2.480;679.200
01/2013;FCA;Calcário Siderúrgico;Matozinhos;MG;João Monlevade;MG;2.806;506.000
01/2013;FCA;Calcário Siderúrgico;Morro Grande;ES;Vitória/Porto Velho;ES;5.468;850.137
01/2013;FCA;Cimento a Granel;Wilson Lobato;MG;Ribeirão Preto;SP;11.169;11.090.627
01/2013;FCA;Cimento acondicionado;Wilson Lobato;MG;Governador Valadares;MG;2.640;1.002.248
01/2013;FCA;Clínquer;Arcos;MG;Barra Mansa;RJ;27.495;12.826.637
01/2013;FCA;Cloreto de Potássio;Fosfago;GO;Cubatão;SP;40.290;40.379.605
01/2013;FCA;Cobre;Barrinha;BA;Copec;BA;1.446;647.409
01/2013;FCA;Cobre;General Curado;GO;Pedro Nolasco;ES;11.668;20.453.560
01/2013;FCA;Contêiner Cheio de 20 Pés;Arcos;MG;Barra Mansa;RJ;2.444;1.140.146
01/2013;FCA;Contêiner Cheio de 20 Pés;General Curado;GO;Boa Vista Nova;SP;2.020;1.962.475
01/2013;FCA;Contêiner Cheio de 20 Pés;Nova Granja;MG;Tubarão;ES;21.621;14.723.079
01/2013;FCA;Contêiner Cheio de 40 Pés;Boa Vista Nova;SP;General Curado;GO;1.399;1.359.160
01/2013;FCA;Contêiner Cheio de 40 Pés;General Curado;GO;Boa Vista Nova;SP;1.756;1.705.994
01/2013;FCA;Contêiner Cheio de 40 Pés;Uberlândia;MG;Boa Vista Nova;SP;25;14.847
01/2013;FCA;Cromita;Campo Formoso;BA;Irapui;BA;6.668;2.569.767
01/2013;FCA;Cromita;Itiuba;BA;Irapui;BA;22.490;6.791.508
01/2013;FCA;Dolomita;Arcos;MG;Barra Mansa;RJ;46.442;21.665.564
01/2013;FCA;Dolomita;Capitão Eduardo;MG;Intendente Câmara;MG;4.986;1.081.453
01/2013;FCA;Enxofre;Conceiçãozinha;SP;Fosfago;GO;10.753;10.980.264
01/2013;FCA;Enxofre;Piaçaguera;SP;Bunge Araxa;MG;1.355;1.206.898
01/2013;FCA;Enxofre;Piaçaguera;SP;Valefertil;MG;68.863;47.728.394
01/2013;FCA;Farelo de Soja;Araguari;MG;Tubarão;ES;5.808;8.244.705
01/2013;FCA;Farelo de Soja;Brejo Alegre;MG;Santos;SP;27.107;25.002.657
01/2013;FCA;Farelo de Soja;Brejo Alegre;MG;Tubarão;ES;3.671;5.171.139
01/2013;FCA;Farelo de Soja;General Curado;GO;Tubarão;ES;10.892;19.067.197
01/2013;FCA;Ferro Gusa;Prudente de Morais;MG;Tubarão;ES;12.979;9.351.656
01/2013;FCA;Fosfato;Catalão;GO;Cubatão;SP;52.575;52.271.327
01/2013;FCA;Fosfato;Catalão;GO;Valefertil;MG;53.254;16.138.252
01/2013;FCA;Fosfato;Uberlândia;MG;Paulínia;SP;14.569;8.501.055
01/2013;FCA;Gasolina;Candeias;BA;Juazeiro;BA;3.171;1.801.312
01/2013;FCA;Gasolina;Candeias;BA;Montes Claros;MG;4.412;4.723.464
01/2013;FCA;Gasolina;Embiruçu;MG;Governador Valadares;MG;4.136;1.488.803
01/2013;FCA;Gasolina;Embiruçu;MG;Montes Claros;MG;1.100;615.890
01/2013;FCA;Gasolina;Replan;SP;Brasília;DF;1.059;1.111.416
01/2013;FCA;Gasolina;Replan;SP;Estação Pool;GO;4.561;4.649.083
01/2013;FCA;Gasolina;Replan;SP;Ribeirão Preto;SP;576;163.139
01/2013;FCA;Grãos - Milho;Araguari;MG;Tubarão;ES;18.328;26.017.383
01/2013;FCA;Grãos - Milho;Brejo Alegre;MG;Santos;SP;1.216;1.121.601
01/2013;FCA;Grãos - Milho;Brejo Alegre;MG;Tubarão;ES;279.286;393.415.109
01/2013;FCA;Grãos - Milho;Carreira Comprida;MG;Tubarão;ES;8.271;5.430.250
01/2013;FCA;Grãos - Milho;Uberlândia;MG;Conceiçãozinha;SP;28.849;25.141.904
01/2013;FCA;LAB;Copec;BA;Vespasiano;MG;3.732;6.018.249
01/2013;FCA;Magnesita;Catiboaba;BA;Parque Industrial;MG;10.450;10.709.964
01/2013;FCA;Magnesita;Catiboaba;BA;Porto de Aratu;BA;5.572;3.377.980
01/2013;FCA;Minério de Ferro;Capitão Eduardo;MG;Intendente Câmara;MG;75.428;16.360.183
01/2013;FCA;Minério de Ferro;Embiruçu;MG;Pedreira Rio das Velhas;MG;2.577;100.500
01/2013;FCA;Minério de Ferro;Licínio de Almeida;BA;Capitão Eduardo;MG;8.848;7.661.864
01/2013;FCA;Minério de Ferro;Silva Oliveira;MG;Intendente Câmara;MG;142.305;44.024.044
01/2013;FCA;Óleo Diesel;Candeias;BA;Montes Claros;MG;8.014;8.579.749
01/2013;FCA;Óleo Diesel;Embiruçu;MG;Governador Valadares;MG;4.802;1.728.537
01/2013;FCA;Óleo Diesel;Embiruçu;MG;Montes Claros;MG;2.427;1.358.877
01/2013;FCA;Óleo Diesel;Embiruçu;MG;Pedreira Rio das Velhas;MG;5.921;230.913
01/2013;FCA;Óleo Diesel;Replan;SP;Brasília;DF;5.424;5.692.466
01/2013;FCA;Óleo Diesel;Replan;SP;Estação Pool;GO;8.712;8.880.246
01/2013;FCA;Óleo Diesel;Replan;SP;Ribeirão Preto;SP;5.500;1.557.754
01/2013;FCA;Outras - Carga Geral Não Conteinerizada;Prudente de Morais;MG;Tubarão;ES;1.000;720.522
01/2013;FCA;Outros - Comb e derivado -  Perigoso;Embiruçu;MG;Tubarão;ES;28.395;19.378.906
01/2013;FCA;Outros - Comb e derivado -  Perigoso;Replan;SP;Brasília;DF;2.410;2.529.285
01/2013;FCA;Outros - Comb e derivado -  Perigoso;Replan;SP;Estação Pool;GO;20.707;21.106.893
01/2013;FCA;Outros - Combust, deriv. Petro., alcool;Candeias;BA;Montes Claros;MG;1.196;1.280.432
01/2013;FCA;Outros - Combust, deriv. Petro., alcool;Embiruçu;MG;Araguari;MG;873;643.459
01/2013;FCA;Outros - Combust, deriv. Petro., alcool;Embiruçu;MG;Divinopolis;MG;255;33.442
01/2013;FCA;Outros - Combust, deriv. Petro., alcool;Embiruçu;MG;Governador Valadares;MG;203;73.072
01/2013;FCA;Outros - Combust, deriv. Petro., alcool;Embiruçu;MG;Montes Claros;MG;306;171.329
01/2013;FCA;Outros - Combust, deriv. Petro., alcool;Embiruçu;MG;Wilson Lobato;MG;207;20.219
