Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2014;EFC;Cobre;Paraupebas;PA;Ponta da Madeira Cobre;MA;13.513;11.783.336
01/2014;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira Pêra do Píer;MA;67.853;35.670.322
01/2014;EFC;Ferro Gusa;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;40.104;30.106.073
01/2014;EFC;Ferro Gusa;Rosário;MA;Ponta da Madeira Pêra do Píer;MA;10.314;533.234
01/2014;EFC;Gasolina;Itaqui Base Combustível;MA;Açailândia;MA;10.461;5.471.103
01/2014;EFC;Gasolina;Itaqui Base Combustível;MA;Marabá;PA;4.484;3.354.032
01/2014;EFC;Manganês;Carajás;PA;Virador de Vagões Minério;MA;134.352;120.782.448
01/2014;EFC;Minério de Ferro;Açailândia;MA;Virador de Vagões Minério;MA;103.800;54.079.800
01/2014;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;177.694;67.168.332
01/2014;EFC;Minério de Ferro;Carajás;PA;Marabá;PA;14.240;2.178.720
01/2014;EFC;Minério de Ferro;Carajás;PA;Rosário;MA;20.056;17.087.712
01/2014;EFC;Minério de Ferro;Carajás;PA;Virador de Vagões Minério;MA;9.730.515;8.747.732.985
01/2014;EFC;Minério de Ferro;Rosário;MA;Virador de Vagões Minério;MA;5.000;235.000
01/2014;EFC;Outros - Comb e derivado -  Perigoso;Itaqui Base Combustível;MA;Açailândia;MA;21.931;11.469.913
01/2014;EFC;Outros - Comb e derivado -  Perigoso;Itaqui Base Combustível;MA;Marabá;PA;14.991;11.213.268
01/2014;EFPO;Contêiner Cheio de 40 Pés;Cascavel;PR;D Pedro II;PR;134;98.463
01/2014;EFPO;Farelo de Soja;Agrária;PR;D Pedro II;PR;4.340;2.144.832
01/2014;EFPO;Óleo Vegetal;Cascavel;PR;D Pedro II;PR;817;600.331
01/2014;EFPO;Soja;Cascavel;PR;Agrária;PR;12.475;3.001.460
01/2014;EFPO;Soja;Cascavel;PR;D Pedro II;PR;8.178;6.009.187
01/2014;EFVM;Amônia;Tubarão;ES;Brejo Alegre;MG;6.136;8.643.452
01/2014;EFVM;Amônia;Tubarão;ES;Eng. Adelmar;MG;971;938.369
01/2014;EFVM;Antracito;Tubarão;ES;Bela Vista de Minas;MG;14.414;7.551.408
01/2014;EFVM;Antracito;Tubarão;ES;Intendente Câmara;MG;19.640;8.506.300
01/2014;EFVM;Carvão Mineral;Tubarão;ES;Intendente Câmara;MG;132.372;57.331.769
