Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2018;EFC;Cobre;Paraupebas;PA;Ponta da Madeira Cobre;MA;38.823;33.853.656
01/2018;EFC;Escória;Açailândia;MA;Ponta da Madeira;MA;2.457;1.260.441
01/2018;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira;MA;39.759;20.396.367
01/2018;EFC;Gasolina;Itaqui Base Combustível;MA;Marabá;PA;1.242;929.016
01/2018;EFC;Gasolina;Ponta da Madeira;MA;Açailândia;MA;5.301;2.719.413
01/2018;EFC;Gasolina;Ponta da Madeira;MA;Marabá;PA;4.491;3.314.358
01/2018;EFC;Manganês;Carajás;PA;Ponta da Madeira;MA;95.850;85.402.350
01/2018;EFC;Manganês;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;29.795;22.367.106
01/2018;EFC;Minério de Ferro;Açailândia;MA;Ponta da Madeira;MA;33.770;17.324.010
01/2018;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;151.273;57.181.194
01/2018;EFC;Minério de Ferro;Carajás;PA;Marabá;PA;25.336;3.876.408
01/2018;EFC;Minério de Ferro;Carajás;PA;Ponta da Madeira;MA;10.699.873;9.533.586.843
01/2018;EFC;Minério de Ferro;Marabá;PA;Ponta da Madeira;MA;11.110;8.199.180
01/2018;EFC;Minério de Ferro;Serra Leste;PA;Ponta da Madeira;MA;411.017;341.695.694
01/2018;EFC;Minério de Ferro;Serra Sul;PA;Ponta da Madeira;MA;4.241.059;4.013.678.862
01/2018;EFC;Óleo Diesel;Itaqui Base Combustível;MA;Açailândia;MA;9.852;5.152.596
01/2018;EFC;Óleo Diesel;Itaqui Base Combustível;MA;Marabá;PA;5.865;4.387.020
01/2018;EFC;Outros - Comb e derivado -  Perigoso;Itaqui Base Combustível;MA;Açailândia;MA;1.782;931.986
01/2018;EFC;Outros - Comb e derivado -  Perigoso;Itaqui Base Combustível;MA;Marabá;PA;1.436;1.074.128
01/2018;EFC;Outros - Comb e derivado -  Perigoso;Ponta da Madeira;MA;Açailândia;MA;10.973;5.629.149
01/2018;EFC;Outros - Comb e derivado -  Perigoso;Ponta da Madeira;MA;Marabá;PA;14.568;10.751.184
01/2018;EFPO;Cimento acondicionado;Agrária;PR;Cascavel;PR;2.320;558.187
01/2018;EFPO;Soja;Cascavel;PR;Agrária;PR;5.478;1.317.995
01/2018;EFPO;Soja;Cascavel;PR;D Pedro II;PR;48.786;35.847.904
01/2018;EFPO;Veículos;Cascavel;PR;Agrária;PR;20;4.811
01/2018;EFVM;Carvão Mineral;Tubarão;ES;Bela Vista de Minas;MG;10.329;5.411.301
01/2018;EFVM;Carvão Mineral;Tubarão;ES;Intendente Câmara;MG;156.444;67.757.614
01/2018;EFVM;Carvão Mineral;Tubarão;ES;Ouro Branco;MG;149.541;100.323.467
01/2018;EFVM;Celulose;Aracruz;ES;Frederico Selow;MG;50;18.528
01/2018;EFVM;Celulose;Frederico Selow;MG;Aracruz;ES;106.874;39.604.618
01/2018;EFVM;Cloreto de Potássio;Tubarão;ES;Brejo Alegre;MG;41.159;57.919.072
01/2018;EFVM;Cloreto de Potássio;Tubarão;ES;Eng. Adelmar;MG;638;616.559
01/2018;EFVM;Coque;Pedro Nolasco;ES;Brasília;DF;10.076;18.433.346
01/2018;EFVM;Coque;Pedro Nolasco;ES;Ouro Branco;MG;5.175;3.484.165
01/2018;EFVM;Coque;Tubarão;ES;Prudente de Morais;MG;13.039;9.394.884
01/2018;EFVM;Coque Metalúrgico;Tubarão;ES;Bela Vista de Minas;MG;28.399;14.878.065
01/2018;EFVM;Escória;Intendente Câmara;MG;Dr. Lund;MG;1.418;365.723
01/2018;EFVM;Escória;João Correia;MG;Eng. Bhering;MG;5.002;2.821.963
01/2018;EFVM;Ferro Gusa;Aroaba;ES;Pedro Nolasco;ES;30.062;723.682
01/2018;EFVM;Ferro Gusa;Funil;MG;Pedro Nolasco;ES;14.514;9.303.790
01/2018;EFVM;Fosfato;Tubarão;ES;Brejo Alegre;MG;7.228;10.161.893
01/2018;EFVM;Minério de Ferro;Alegria;MG;Tubarão;ES;1.750.356;1.054.818.784
01/2018;EFVM;Minério de Ferro;Bicas;MG;Tubarão;ES;466.979;253.899.749
01/2018;EFVM;Minério de Ferro;Brucutu;MG;Fábrica Muro;MG;22.628;2.692.663
01/2018;EFVM;Minério de Ferro;Brucutu;MG;Tubarão;ES;2.044.517;1.194.024.498
