Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2011;EFC;Cobre;Paraupebas;PA;Ponta da Madeira Cobre;MA;29.116;25.185.340
01/2011;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira Pêra do Píer;MA;113.440;58.661.920
01/2011;EFC;Ferro Gusa;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;46.600;34.530.600
01/2011;EFC;Ferro Gusa;Rosário;MA;Ponta da Madeira Pêra do Píer;MA;12.872;553.496
01/2011;EFC;Gasolina;Itaqui Base Combustível;MA;Açailândia;MA;4.649;2.402.629
01/2011;EFC;Gasolina;Itaqui Base Combustível;MA;Marabá;PA;4.221;3.127.761
01/2011;EFC;Gasolina;Pombinho;MA;Açailândia;MA;1.706;887.469
01/2011;EFC;Manganês;Carajás;PA;Virador de Vagões Minério;MA;121.270;108.172.840
01/2011;EFC;Minério de Ferro;Açailândia;MA;Virador de Vagões Minério;MA;1.800;923.400
01/2011;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;130.112;49.312.448
01/2011;EFC;Minério de Ferro;Carajás;PA;Marabá;PA;120.684;18.585.336
01/2011;EFC;Minério de Ferro;Carajás;PA;Rosário;MA;15.010;12.803.530
01/2011;EFC;Minério de Ferro;Carajás;PA;Virador de Vagões Minério;MA;9.004.432;8.031.953.344
01/2011;EFC;Minério de Ferro;Rosário;MA;Virador de Vagões Minério;MA;6.000;234.000
01/2011;EFC;Outros - Comb e derivado -  Perigoso;Itaqui Base Combustível;MA;Açailândia;MA;20.402;10.539.346
01/2011;EFC;Outros - Comb e derivado -  Perigoso;Itaqui Base Combustível;MA;Marabá;PA;19.875;14.727.375
01/2011;EFC;Outros - Comb e derivado -  Perigoso;Pombinho;MA;Açailândia;MA;4.370;2.268.030
01/2011;EFPO;Contêiner Cheio de 40 Pés;Cascavel;PR;D Pedro II;PR;5.859;4.315.221
01/2011;EFPO;Contêiner Cheio de 40 Pés;Cascavel;PR;Uvaranas;PR;2.646;1.389.150
01/2011;EFPO;Grãos - Trigo;Cascavel;PR;D Pedro II;PR;33.044;24.353.428
01/2011;EFPO;Óleo Vegetal;Cascavel;PR;D Pedro II;PR;2.069;1.524.853
01/2011;EFPO;Soja;Cascavel;PR;D Pedro II;PR;3.493;2.574.341
01/2011;EFPO;Soja;Cascavel;PR;Desvio Ribas;PR;3.145;1.594.515
01/2011;EFVM;Carvão Mineral;Ouro Branco;MG;Capitão Eduardo;MG;6.495;1.221.060
01/2011;EFVM;Carvão Mineral;Ouro Branco;MG;Intendente Câmara;MG;18.170;4.306.290
01/2011;EFVM;Carvão Mineral;Tubarão;ES;Intendente Câmara;MG;105.081;45.815.316
01/2011;EFVM;Carvão Mineral;Tubarão;ES;Ouro Branco;MG;138.955;92.960.895
01/2011;EFVM;Celulose;Aracruz;ES;Frederico Selow;MG;62;22.940
01/2011;EFVM;Celulose;Frederico Selow;MG;Aracruz;ES;104.152;38.432.088
01/2011;EFVM;Cimento acondicionado;Tubarão;ES;Governador Valadares;MG;1.800;585.000
01/2011;EFVM;Coque;Pedro Nolasco;ES;Brasília;DF;4.013;7.319.712
01/2011;EFVM;Coque;Tubarão;ES;Pedro Nolasco;ES;4.013;112.364
01/2011;EFVM;Coque Metalúrgico;Tubarão;ES;Bela Vista de Minas;MG;27.970;14.488.460
01/2011;EFVM;Dunito;Eng. Costa Lacerda;MG;Mário Carvalho;MG;3.241;379.197
01/2011;EFVM;Escória;Intendente Câmara;MG;Dr. Lund;MG;29.438;7.477.252
01/2011;EFVM;Escória;João Correia;MG;Dr. Lund;MG;10.547;2.773.861
01/2011;EFVM;Escória;João Correia;MG;Eng. Bhering;MG;19.414;11.065.980
01/2011;EFVM;Ferro Gusa;Funil;MG;Pedro Nolasco;ES;24.899;15.910.461
01/2011;EFVM;Ferro Gusa;Piraqueaçu;ES;Pedro Nolasco;ES;7.956;596.700
01/2011;EFVM;Manganês;Fábrica Muro;MG;Intendente Câmara;MG;5.158;1.217.288
01/2011;EFVM;Minério de Ferro;Alegria;MG;Intendente Câmara;MG;54.244;9.221.480
01/2011;EFVM;Minério de Ferro;Alegria;MG;Mário Carvalho;MG;13.034;2.007.236
01/2011;EFVM;Minério de Ferro;Alegria;MG;Tubarão;ES;809.757;488.283.471
01/2011;EFVM;Minério de Ferro;Bicas;MG;Tubarão;ES;362.056;199.130.800
01/2011;EFVM;Minério de Ferro;Brucutu;MG;Intendente Câmara;MG;76.868;11.222.728
01/2011;EFVM;Minério de Ferro;Brucutu;MG;Tubarão;ES;2.602.767;1.525.221.462
01/2011;EFVM;Minério de Ferro;Conceição;MG;Intendente Câmara;MG;32.736;3.699.168
01/2011;EFVM;Minério de Ferro;Conceição;MG;Tubarão;ES;1.372.362;749.309.652
01/2011;EFVM;Minério de Ferro;Fábrica;MG;Intendente Câmara;MG;95.295;23.251.980
01/2011;EFVM;Minério de Ferro;Fábrica;MG;Mário Carvalho;MG;65.258;14.878.824
01/2011;EFVM;Minério de Ferro;Fábrica;MG;Tubarão;ES;352.883;238.901.791
01/2011;EFVM;Minério de Ferro;Fábrica Muro;MG;Tubarão;ES;181.982;122.291.904
01/2011;EFVM;Minério de Ferro;Gongo Soco;MG;Tubarão;ES;499.332;305.591.184
01/2011;EFVM;Minério de Ferro;João Paulo;MG;Intendente Câmara;MG;6.768;751.248
