Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2010;EFC;Cobre;Paraupebas;PA;Ponta da Madeira Cobre;MA;40.974;35.442.510
01/2010;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira Pêra do Píer;MA;53.452;27.762.592
01/2010;EFC;Ferro Gusa;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;102.228;76.240.060
01/2010;EFC;Ferro Gusa;Rosário;MA;Ponta da Madeira Pêra do Píer;MA;5.250;257.250
01/2010;EFC;Gasolina;Itaqui;MA;Açailândia;MA;2.259;1.179.198
01/2010;EFC;Gasolina;Itaqui Base Combustível;MA;Açailândia;MA;4.433;2.287.428
01/2010;EFC;Gasolina;Itaqui Base Combustível;MA;Marabá;PA;4.543;3.366.363
01/2010;EFC;Manganês;Carajás;PA;Virador de Vagões Minério;MA;135.400;120.776.800
01/2010;EFC;Minério de Ferro;Açailândia;MA;Virador de Vagões Minério;MA;11.000;5.643.000
01/2010;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;137.440;52.089.760
01/2010;EFC;Minério de Ferro;Carajás;PA;Marabá;PA;138.090;21.265.860
01/2010;EFC;Minério de Ferro;Carajás;PA;Rosário;MA;19.870;16.949.110
01/2010;EFC;Minério de Ferro;Carajás;PA;Virador de Vagões Minério;MA;7.208.107;6.429.631.444
01/2010;EFC;Outros - Comb e derivado -  Perigoso;Itaqui;MA;Açailândia;MA;6.551;3.419.622
01/2010;EFC;Outros - Comb e derivado -  Perigoso;Itaqui Base Combustível;MA;Açailândia;MA;23.006;11.871.096
01/2010;EFC;Outros - Comb e derivado -  Perigoso;Itaqui Base Combustível;MA;Marabá;PA;14.335;10.622.235
01/2010;EFPO;Contêiner Cheio de 40 Pés;Cascavel;PR;D Pedro II;PR;5.886;4.337.982
01/2010;EFPO;Contêiner Cheio de 40 Pés;Cascavel;PR;Uvaranas;PR;2.403;1.261.575
01/2010;EFPO;Grãos - Milho;Cascavel;PR;D Pedro II;PR;3.853;2.843.514
01/2010;EFPO;Grãos - Trigo;Cascavel;PR;D Pedro II;PR;6.272;4.622.464
01/2010;EFPO;Grãos - Trigo;Cascavel;PR;Tatui;SP;2.515;1.639.780
01/2010;EFPO;Óleo Vegetal;Cascavel;PR;D Pedro II;PR;1.863;1.373.031
01/2010;EFPO;Soja;Cascavel;PR;Agrária;PR;1.471;366.279
01/2010;EFPO;Soja;Cascavel;PR;D Pedro II;PR;882;650.034
01/2010;EFPO;Soja;Cascavel;PR;Desvio Ribas;PR;4.111;2.084.277
01/2010;EFPO;Soja;Cascavel;PR;Estrela;RS;6.573;8.209.677
01/2010;EFPO;Soja;Cascavel;PR;São Francisco do Sul;SC;1.889;1.593.036
01/2010;EFVM;Adubo Orgânico a Granel;Tubarão;ES;Valefertil;MG;455;650.650
01/2010;EFVM;Amônia;Tubarão;ES;Valefertil;MG;1.932;2.787.876
01/2010;EFVM;Antracito;Tubarão;ES;Intendente Câmara;MG;1.731;754.716
01/2010;EFVM;Antracito;Tubarão;ES;Ouro Branco;MG;12.346;8.234.782
01/2010;EFVM;Cal;Capitão Eduardo;MG;Tubarão;ES;20.278;13.099.588
01/2010;EFVM;Calcário Britado;Funil;MG;Intendente Câmara;MG;5.475;1.127.850
