Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2015;EFC;Cobre;Paraupebas;PA;Ponta da Madeira Cobre;MA;30.306;26.426.832
01/2015;EFC;Escória;Açailândia;MA;Ponta da Madeira Pêra do Píer;MA;2.051;1.078.211
01/2015;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira Pêra do Píer;MA;89.878;47.248.865
01/2015;EFC;Ferro Gusa;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;39.174;29.407.922
01/2015;EFC;Ferro Gusa;Rosário;MA;Ponta da Madeira Pêra do Píer;MA;16.724;864.631
01/2015;EFC;Gasolina;Itaqui Base Combustível;MA;Açailândia;MA;8.023;4.196.029
01/2015;EFC;Gasolina;Itaqui Base Combustível;MA;Marabá;PA;3.700;2.767.600
01/2015;EFC;Manganês;Carajás;PA;Virador de Vagões Minério;MA;20.820;18.717.180
01/2015;EFC;Manganês;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;5.257;3.946.430
01/2015;EFC;Minério de Ferro;Açailândia;MA;Virador de Vagões Minério;MA;92.820;48.359.220
01/2015;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;190.979;72.190.062
01/2015;EFC;Minério de Ferro;Carajás;PA;Marabá;PA;27.192;4.160.376
01/2015;EFC;Minério de Ferro;Carajás;PA;Rosário;MA;20.899;17.805.948
01/2015;EFC;Minério de Ferro;Carajás;PA;Virador de Vagões Minério;MA;10.311.019;9.269.606.081
01/2015;EFC;Minério de Ferro;Rosário;MA;Virador de Vagões Minério;MA;8.320;391.040
01/2015;EFC;Outros - Comb e derivado -  Perigoso;Itaqui Base Combustível;MA;Açailândia;MA;27.581;14.424.863
01/2015;EFC;Outros - Comb e derivado -  Perigoso;Itaqui Base Combustível;MA;Marabá;PA;16.366;12.241.768
01/2015;EFPO;Cimento acondicionado;Agrária;PR;Cascavel;PR;2.600;625.555
01/2015;EFPO;Contêiner Vazio de 40 Pés;Cascavel;PR;Guarapuava;PR;4;992
01/2015;EFPO;Soja;Cascavel;PR;Agrária;PR;17.092;4.112.301
01/2015;EFPO;Soja;Cascavel;PR;D Pedro II;PR;21.535;15.823.896
01/2015;EFPO;Soja;Cascavel;PR;São Francisco do Sul;SC;3.191;2.685.128
01/2015;EFPO;Veículos;Cascavel;PR;Agrária;PR;53;12.752
01/2015;EFVM;Antracito;Tubarão;ES;Intendente Câmara;MG;17.447;7.556.488
01/2015;EFVM;Carvão Mineral;Tubarão;ES;Intendente Câmara;MG;107.569;46.589.316
01/2015;EFVM;Carvão Mineral;Tubarão;ES;Ouro Branco;MG;211.119;141.634.670
01/2015;EFVM;Carvão Mineral;Tubarão;ES;Prudente de Morais;MG;4.043;2.913.070
01/2015;EFVM;Celulose;Aracruz;ES;Frederico Selow;MG;50;18.529
01/2015;EFVM;Celulose;Frederico Selow;MG;Aracruz;ES;98.374;36.454.748
01/2015;EFVM;Cloreto de Potássio;Tubarão;ES;Brejo Alegre;MG;21.862;30.795.819
01/2015;EFVM;Cloreto de Potássio;Tubarão;ES;Eng. Adelmar;MG;580;560.509
01/2015;EFVM;Coque;Pedro Nolasco;ES;Brasília;DF;5.414;9.919.368
01/2015;EFVM;Coque;Tubarão;ES;Arcos;MG;6.334;6.234.809
01/2015;EFVM;Coque;Tubarão;ES;Brasília;DF;2.640;4.830.611
01/2015;EFVM;Coque;Tubarão;ES;Pedro Nolasco;ES;6.119;166.529
01/2015;EFVM;Coque;Tubarão;ES;Prudente de Morais;MG;57.621;41.517.195
01/2015;EFVM;Coque;Tubarão;ES;Vespasiano;MG;2.041;1.379.336
01/2015;EFVM;Coque Metalúrgico;Tubarão;ES;Bela Vista de Minas;MG;32.627;17.093.090
01/2015;EFVM;Escória;Intendente Câmara;MG;Dr. Lund;MG;15.999;4.126.382
01/2015;EFVM;Escória;João Correia;MG;Dr. Lund;MG;7.609;2.024.686
01/2015;EFVM;Escória;João Correia;MG;Eng. Bhering;MG;3.911;2.206.457
01/2015;EFVM;Ferro Gusa;Funil;MG;Pedro Nolasco;ES;23.525;15.080.043
01/2015;EFVM;Ferro Gusa;Mário Carvalho;MG;Pedro Nolasco;ES;2.458;1.104.448
01/2015;EFVM;Ferro Gusa;Piraqueaçu;ES;Pedro Nolasco;ES;19.200;1.440.518
01/2015;EFVM;Minério de Ferro;Alegria;MG;Tubarão;ES;1.192.806;718.821.873
01/2015;EFVM;Minério de Ferro;Bicas;MG;Tubarão;ES;353.354;192.121.043
01/2015;EFVM;Minério de Ferro;Brucutu;MG;Tubarão;ES;2.621.489;1.530.983.656
01/2015;EFVM;Minério de Ferro;Conceição;MG;Tubarão;ES;1.722.235;936.057.112
01/2015;EFVM;Minério de Ferro;Fábrica;MG;Tubarão;ES;694.642;466.379.860
01/2015;EFVM;Minério de Ferro;Fábrica Muro;MG;Tubarão;ES;548.188;366.703.784
01/2015;EFVM;Minério de Ferro;Gongo Soco;MG;Tubarão;ES;212.499;128.860.881
01/2015;EFVM;Minério de Ferro;João Paulo;MG;Tubarão;ES;1.027.279;556.863.291
01/2015;EFVM;Minério de Ferro;Mário Carvalho;MG;Tubarão;ES;1.436;641.799
01/2015;EFVM;Minério de Ferro;Ouro Branco;MG;Tubarão;ES;174.083;116.788.107
01/2015;EFVM;Minério de Ferro;Piraqueaçu;ES;Tubarão;ES;10.819;785.827
01/2015;EFVM;Minério de Ferro;Timbopeba;MG;Tubarão;ES;1.086.183;663.593.727
01/2015;EFVM;Pedras em Blocos e Placas;Colatina;ES;Morro Grande;ES;966;280.231
01/2015;EFVM;Pedras em Blocos e Placas;Colatina;ES;Pedro Nolasco;ES;729;95.950
01/2015;EFVM;Pedras em Blocos e Placas;Governador Valadares;MG;Pedro Nolasco;ES;3.950;1.283.382
01/2015;EFVM;Pedras em Blocos e Placas;João Paulo;MG;Pedro Nolasco;ES;3.280;1.785.858
01/2015;EFVM;Pedras em Blocos e Placas;João Paulo;MG;Tubarão;ES;239;129.556
01/2015;EFVM;Pedras em Blocos e Placas;Pedro Nolasco;ES;Tubarão;ES;791;21.527
01/2015;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Capitão Eduardo;MG;22.653;4.913.390
01/2015;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Carreira Comprida;MG;9.451;2.111.637
01/2015;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Couto e Silva;MG;7.102;1.803.588
