Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2007;EFC;Álcool;Itaqui Base Combustível;MA;Marabá;PA;292;216.372
01/2007;EFC;Bebidas e Vasilhames;Ponta da Madeira Pêra do Píer;MA;Imperatriz;MA;2.137;1.305.707
01/2007;EFC;Cloreto de Potássio;Ponta da Madeira Pêra do Píer;MA;Imperatriz;MA;441;269.451
01/2007;EFC;Cobre;Paraupebas;PA;Ponta da Madeira Cobre;MA;32.145;27.805.425
01/2007;EFC;Coque;Ponta da Madeira Pêra do Píer;MA;Açailândia;MA;5.172;2.684.268
01/2007;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira Pêra do Píer;MA;152.536;79.166.184
01/2007;EFC;Ferro Gusa;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;120.749;89.837.256
01/2007;EFC;Ferro Gusa;Santa Inês;MA;Ponta da Madeira Pêra do Píer;MA;40.827;8.941.113
01/2007;EFC;Fosfato;Ponta da Madeira Pêra do Píer;MA;Imperatriz;MA;714;436.254
01/2007;EFC;Gasolina;Itaqui Base Combustível;MA;Açailândia;MA;9.258;4.777.128
01/2007;EFC;Gasolina;Itaqui Base Combustível;MA;Marabá;PA;4.058;3.006.978
01/2007;EFC;Manganês;Carajás;PA;Virador de Vagões Minério;MA;103.250;92.099.000
01/2007;EFC;Minério de Ferro;Açailândia;MA;Virador de Vagões Minério;MA;28.600;14.671.800
01/2007;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;246.107;93.274.553
01/2007;EFC;Minério de Ferro;Carajás;PA;Marabá;PA;366.597;56.455.938
01/2007;EFC;Minério de Ferro;Carajás;PA;Rosário;MA;31.716;28.290.672
01/2007;EFC;Minério de Ferro;Carajás;PA;Santa Inês;MA;32.720;22.216.880
01/2007;EFC;Minério de Ferro;Carajás;PA;Virador de Vagões Minério;MA;7.226.529;6.446.063.868
01/2007;EFC;Minério de Ferro;Marabá;PA;Virador de Vagões Minério;MA;24.200;17.859.600
01/2007;EFC;Minério de Ferro;Rosário;MA;Virador de Vagões Minério;MA;6.000;240.000
01/2007;EFC;Minério de Ferro;Santa Inês;MA;Virador de Vagões Minério;MA;7.000;1.491.000
01/2007;EFC;Óleo Diesel;Itaqui Base Combustível;MA;Açailândia;MA;49.602;25.594.632
01/2007;EFC;Óleo Diesel;Itaqui Base Combustível;MA;Marabá;PA;17.915;13.275.015
01/2007;EFPO;Contêiner Cheio de 40 Pés;Cascavel;PR;D Pedro II;PR;2.829;2.084.973
01/2007;EFPO;Contêiner Cheio de 40 Pés;Cascavel;PR;Uvaranas;PR;615;322.875
01/2007;EFPO;Contêiner Vazio de 40 Pés;Cascavel;PR;D Pedro II;PR;88;64.856
01/2007;EFPO;Grãos - Milho;Cascavel;PR;D Pedro II;PR;24.552;18.101.653
01/2007;EFPO;Grãos - Trigo;Cascavel;PR;Tatui;SP;650;423.800
01/2007;EFPO;Máquinas, Motores, Peças e acessórios;Cascavel;PR;Agrária;PR;435;108.315
01/2007;EFPO;Soja;Cascavel;PR;D Pedro II;PR;16.048;11.827.376
01/2007;EFPO;Soja;Cascavel;PR;Desvio Ribas;PR;654;331.578
01/2007;EFPO;Soja;Cascavel;PR;São Francisco do Sul;SC;800;676.800
01/2007;EFVM;Açúcar;Lagoa Prata;MG;Pedro Nolasco;ES;5.060;4.756.400
01/2007;EFVM;Amônia;Tubarão;ES;Adm;GO;1.058;1.615.566
01/2007;EFVM;Amônia;Tubarão;ES;Catalão;GO;1.066;1.633.112
01/2007;EFVM;Amônia;Tubarão;ES;Padre Eustáquio;MG;4.839;3.735.708
01/2007;EFVM;Amônia;Tubarão;ES;Valefertil;MG;4.428;6.429.456
01/2007;EFVM;Amônia;Tubarão;ES;Varginha;MG;6.480;7.374.240
01/2007;EFVM;Antracito;Tubarão;ES;Bela Vista de Minas;MG;4.350;2.288.100
01/2007;EFVM;Antracito;Tubarão;ES;Ouro Branco;MG;22.308;14.924.052
01/2007;EFVM;Areia;Tubarão;ES;Pedreira Rio das Velhas;MG;120;77.520
01/2007;EFVM;Calcário Britado;Matozinhos;MG;Intendente Câmara;MG;18.846;5.069.574
01/2007;EFVM;Calcário Corretivo;Matozinhos;MG;Intendente Câmara;MG;54.184;14.575.496
01/2007;EFVM;Calcário Corretivo;Nova Granja;MG;Intendente Câmara;MG;2.208;540.960
01/2007;EFVM;Calcário Siderúrgico;Gongo Soco;MG;Tubarão;ES;2.671;1.629.310
01/2007;EFVM;Calcário Siderúrgico;Matozinhos;MG;Intendente Câmara;MG;5.279;1.420.051
