Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2016;EFC;Cobre;Paraupebas;PA;Ponta da Madeira Cobre;MA;38.870;33.894.640
01/2016;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira;MA;88.666;45.485.658
01/2016;EFC;Gasolina;Ponta da Madeira;MA;Açailândia;MA;8.808;4.518.504
01/2016;EFC;Gasolina;Ponta da Madeira;MA;Marabá;PA;2.713;2.002.194
01/2016;EFC;Manganês;Carajás;PA;Virador de Vagões Minério;MA;128.938;115.915.262
01/2016;EFC;Minério de Ferro;Açailândia;MA;Virador de Vagões Minério;MA;33.000;17.193.000
01/2016;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;203.362;76.870.836
01/2016;EFC;Minério de Ferro;Carajás;PA;Marabá;PA;14.641;2.240.073
01/2016;EFC;Minério de Ferro;Carajás;PA;Virador de Vagões Minério;MA;11.422.477;10.268.806.823
01/2016;EFC;Minério de Ferro;Serra Leste;PA;Ponta da Madeira;MA;495.459;411.895.876
01/2016;EFC;Outros - Comb e derivado -  Perigoso;Ponta da Madeira;MA;Açailândia;MA;27.834;14.278.842
01/2016;EFC;Outros - Comb e derivado -  Perigoso;Ponta da Madeira;MA;Marabá;PA;10.802;7.971.876
01/2016;EFPO;Cimento acondicionado;Agrária;PR;Cascavel;PR;240;57.744
01/2016;EFPO;Grãos - Trigo;Cascavel;PR;Guarapuava;PR;8.763;2.174.082
01/2016;EFPO;Soja;Cascavel;PR;Agrária;PR;39.029;9.390.300
01/2016;EFPO;Veículos;Cascavel;PR;Agrária;PR;5;1.203
01/2016;EFVM;Antracito;Tubarão;ES;Intendente Câmara;MG;13.450;5.825.343
01/2016;EFVM;Carvão Mineral;Tubarão;ES;Bela Vista de Minas;MG;4.748;2.487.449
01/2016;EFVM;Carvão Mineral;Tubarão;ES;Intendente Câmara;MG;110.372;47.803.327
01/2016;EFVM;Carvão Mineral;Tubarão;ES;Ouro Branco;MG;203.836;136.748.680
01/2016;EFVM;Celulose;Aracruz;ES;Frederico Selow;MG;50;18.529
01/2016;EFVM;Celulose;Frederico Selow;MG;Aracruz;ES;92.310;34.207.594
01/2016;EFVM;Cloreto de Potássio;Tubarão;ES;Brejo Alegre;MG;16.843;23.725.824
01/2016;EFVM;Coque;Pedro Nolasco;ES;Brasília;DF;4.299;7.876.499
01/2016;EFVM;Coque;Tubarão;ES;Brasília;DF;7.953;14.552.217
01/2016;EFVM;Coque;Tubarão;ES;Pedro Nolasco;ES;4.299;116.998
01/2016;EFVM;Coque;Tubarão;ES;Prudente de Morais;MG;16.734;12.057.215
01/2016;EFVM;Coque Metalúrgico;Tubarão;ES;Bela Vista de Minas;MG;34.826;18.245.132
01/2016;EFVM;Escória;Intendente Câmara;MG;Dr. Lund;MG;11.200;2.888.648
01/2016;EFVM;Escória;João Correia;MG;Dr. Lund;MG;18.570;4.941.310
01/2016;EFVM;Farelo de Soja;Tubarão;ES;Pedro Nolasco;ES;146;3.973
01/2016;EFVM;Ferro Gusa;Aroaba;ES;Pedro Nolasco;ES;21.328;513.429
01/2016;EFVM;Ferro Gusa;Funil;MG;Pedro Nolasco;ES;14.134;9.060.206
01/2016;EFVM;Ferro Gusa;Mário Carvalho;MG;Pedro Nolasco;ES;2.020;907.643
01/2016;EFVM;Ferro Gusa;Piraqueaçu;ES;Pedro Nolasco;ES;6.660;499.680
01/2016;EFVM;Fosfato;Tubarão;ES;Brejo Alegre;MG;6.827;9.616.826
01/2016;EFVM;Fosfato;Tubarão;ES;Eng. Adelmar;MG;435;420.381
01/2016;EFVM;Minério de Ferro;Alegria;MG;Tubarão;ES;1.420.342;855.942.120
01/2016;EFVM;Minério de Ferro;Bicas;MG;Tubarão;ES;356.034;193.578.179
01/2016;EFVM;Minério de Ferro;Brucutu;MG;Intendente Câmara;MG;54.186;8.176.776
01/2016;EFVM;Minério de Ferro;Brucutu;MG;Tubarão;ES;2.531.698;1.478.544.546
01/2016;EFVM;Minério de Ferro;Conceição;MG;Tubarão;ES;1.478.490;803.578.535
01/2016;EFVM;Minério de Ferro;Fábrica;MG;Mário Carvalho;MG;55.998;12.569.367
01/2016;EFVM;Minério de Ferro;Fábrica;MG;Tubarão;ES;722.850;485.318.599
01/2016;EFVM;Minério de Ferro;Fábrica Muro;MG;Tubarão;ES;430.451;287.945.031
01/2016;EFVM;Minério de Ferro;Gongo Soco;MG;Tubarão;ES;149.748;90.808.235
01/2016;EFVM;Minério de Ferro;João Paulo;MG;Tubarão;ES;879.269;476.630.621
01/2016;EFVM;Minério de Ferro;Ouro Branco;MG;Intendente Câmara;MG;25.983;6.177.848
01/2016;EFVM;Minério de Ferro;Ouro Branco;MG;Piraqueaçu;ES;19.876;11.890.658
01/2016;EFVM;Minério de Ferro;Ouro Branco;MG;Tubarão;ES;133.052;89.261.394
01/2016;EFVM;Minério de Ferro;Pedreira Rio das Velhas;MG;Tubarão;ES;6.124;3.940.653
01/2016;EFVM;Minério de Ferro;Piraqueaçu;ES;Tubarão;ES;3.605;261.846
01/2016;EFVM;Minério de Ferro;Timbopeba;MG;Tubarão;ES;22.325;13.639.258
01/2016;EFVM;Minério de Ferro;Tubarão;ES;Piraqueaçu;ES;4.800;348.643
01/2016;EFVM;Pedras em Blocos e Placas;Colatina;ES;Pedro Nolasco;ES;812;106.875
01/2016;EFVM;Pedras em Blocos e Placas;Colatina;ES;Tubarão;ES;5.635;728.189
01/2016;EFVM;Pedras em Blocos e Placas;Governador Valadares;MG;Pedro Nolasco;ES;365;118.591
01/2016;EFVM;Pedras em Blocos e Placas;João Paulo;MG;Pedro Nolasco;ES;2.214;1.205.454
01/2016;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Capitão Eduardo;MG;18.002;3.904.598
01/2016;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Carreira Comprida;MG;5.497;1.228.195
01/2016;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Couto e Silva;MG;4.700;1.193.588
01/2016;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Embiruçu;MG;19.213;4.791.050
01/2016;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Lafaiete Bandeira;MG;41.140;9.164.551
01/2016;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Tubarão;ES;37.081;16.060.189
01/2016;EFVM;Prd. Siderúrgicos - Bobina - BF;Mário Carvalho;MG;Capitão Eduardo;MG;1.812;367.969
01/2016;EFVM;Prd. Siderúrgicos - Bobina - BF;Mário Carvalho;MG;Lafaiete Bandeira;MG;1.753;366.274
01/2016;EFVM;Prd. Siderúrgicos - Bobina - BF;Mário Carvalho;MG;Parque Industrial;MG;662;148.979
01/2016;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Boa Vista Nova;SP;7.425;13.827.170
01/2016;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Lafaiete Bandeira;MG;9.809;6.433.487
01/2016;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Nova Granja;MG;644;438.539
01/2016;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Aracruz;ES;3.349;1.677.916
01/2016;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Capitão Eduardo;MG;16.162;1.993.663
01/2016;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Eldorado;MG;10.420;1.503.876
01/2016;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Governador Valadares;MG;7.868;1.606.174
01/2016;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Parque Industrial;MG;2.083;302.714
01/2016;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Pedro Nolasco;ES;182;96.287
01/2016;EFVM;Prd. Siderúrgicos - Fio Máquina;João Monlevade;MG;Tubarão;ES;4.289;2.258.819
01/2016;EFVM;Prd. Siderúrgicos - Fio Máquina;Ouro Branco;MG;Tubarão;ES;611;409.905
01/2016;EFVM;Prd. Siderúrgicos - Outros;Intendente Câmara;MG;Capitão Eduardo;MG;6.458;1.400.727
01/2016;EFVM;Prd. Siderúrgicos - Outros;Intendente Câmara;MG;Carreira Comprida;MG;3.408;761.450
